"","G","GS","QBrec","Cmp","Att","Cmp%","Yds","TD.x","TD%","Int","Int%","Lng","Y/A","AY/A","Y/C","Y/G","Rate","Sk.x","Sk_Yds","NY/A","ANY/A","Sk%","4QC","GWD","AV","Player","Coll.Comp","Coll.Att","Coll.TD","Coll.Int","Coll.Yds","Coll.Fum","Coll.FumL","Coll.Comp.Pct","games","games_started","FF","Fmb","FR","FmYds","TD.y"
"1",12,12,"4-8-0",196,330,59.4,2193,7,2.1,7,2.1,70,6.6,6.1,11.2,182.8,77.5,31,196,5.53,5.05,8.6,0,1,7,"Mitch Trubisky",386,572,41,10,4762,7,4,0.674825174825175,12,12,0,10,6,-13,0
"2",1,1,"1-0-0",22,35,62.9,284,0,0,1,2.9,51,8.1,6.8,12.9,284,76.4,2,15,7.27,6.05,5.4,0,1,1,"Patrick Mahomes",857,1349,93,29,11252,14,5,0.635285396590067,1,1,0,0,1,0,0
"3",7,6,"3-3-0",126,204,61.8,1699,19,9.3,8,3.9,72,8.3,8.4,13.5,242.7,103,19,116,7.1,7.19,8.5,NA,NA,7,"Deshaun Watson",814,1207,90,32,10163,7,3,0.674399337199669,NA,NA,NA,NA,NA,NA,NA
"4",15,15,"0-15-0",255,476,53.6,2894,11,2.3,22,4.6,56,6.1,4.5,11.3,192.9,60.5,38,226,5.19,3.69,7.4,NA,NA,5,"DeShone Kizer",423,696,47,19,5809,10,5,0.607758620689655,15,15,0,9,2,-14,0
"5",7,5,"1-4-0",123,224,54.9,1430,4,1.8,6,2.7,83,6.4,5.5,11.6,204.3,69.2,19,141,5.3,4.52,7.8,NA,NA,4,"C.J. Beathard",454,782,40,19,5562,10,4,0.580562659846547,7,5,0,3,1,0,0
"6",4,2,"1-1-0",24,49,49,252,2,4.1,5,10.2,21,5.1,1.4,10.5,63,38.4,1,5,4.94,1.24,2,NA,NA,1,"Nathan Peterman",398,663,47,17,5236,16,6,0.600301659125189,4,2,0,2,2,-6,0
"7",22,22,"11-11-0",408,682,59.8,4893,33,4.8,14,2.1,94,7.2,7.2,12,222.4,89.4,51,394,6.14,6.18,7,1,1,13,"Jared Goff",977,1569,96,30,12200,23,11,0.622689611217336,22,22,0,13,1,0,0
"8",29,29,"18-11-0",644,1047,61.5,7078,49,4.7,21,2,73,6.8,6.8,11,244.1,88.8,61,375,6.05,6.08,5.5,2,2,24,"Carson Wentz",392,612,45,14,5115,9,4,0.640522875816993,29,29,0,23,11,-52,0
"9",5,4,"1-3-0",79,128,61.7,792,4,3.1,4,3.1,31,6.2,5.4,10,158.4,76.7,18,93,4.79,4.1,12.3,NA,NA,2,"Paxton Lynch",758,1205,59,23,8863,12,8,0.629045643153527,5,4,0,4,2,0,0
"10",19,17,"5-12-0",310,524,59.2,3498,13,2.5,7,1.3,80,6.7,6.6,11.3,184.1,81.9,58,351,5.41,5.31,10,0,1,13,"Jacoby Brissett",499,839,46,15,5723,14,8,0.594755661501788,19,17,0,11,6,-13,0
